"No.","Time","Source IP","Source HW","Source Port","Dest IP","Dest HW","Dest Port","Protocol","Length","Info"
"32","99.993304000","10.0.2.15","CadmusCo_3b:89:8d","33887","91.189.88.33","RealtekU_12:35:02","80","HTTP","245","GET /ubuntu/dists/quantal/InRelease HTTP/1.1 "
"33","99.993997000","91.189.88.33","RealtekU_12:35:02","80","10.0.2.15","CadmusCo_3b:89:8d","33887","TCP","60","http > 33887 [ACK] Seq=1 Ack=192 Win=65535 Len=0"
"34","100.017165000","194.169.254.10","RealtekU_12:35:02","80","10.0.2.15","CadmusCo_3b:89:8d","57498","HTTP","587","HTTP/1.1 404 Not Found  (text/html)"
"35","100.017297000","10.0.2.15","CadmusCo_3b:89:8d","57498","194.169.254.10","RealtekU_12:35:02","80","TCP","54","57498 > http [ACK] Seq=196 Ack=534 Win=15544 Len=0"
"36","100.019286000","10.0.2.15","CadmusCo_3b:89:8d","57498","194.169.254.10","RealtekU_12:35:02","80","HTTP","257","GET /ubuntu/dists/quantal-updates/InRelease HTTP/1.1 "
"37","100.019848000","194.169.254.10","RealtekU_12:35:02","80","10.0.2.15","CadmusCo_3b:89:8d","57498","TCP","60","http > 57498 [ACK] Seq=534 Ack=399 Win=65535 Len=0"
"38","100.025069000","91.189.88.33","RealtekU_12:35:02","80","10.0.2.15","CadmusCo_3b:89:8d","33887","HTTP","581","HTTP/1.1 404 Not Found  (text/html)"
"39","100.025267000","10.0.2.15","CadmusCo_3b:89:8d","33887","91.189.88.33","RealtekU_12:35:02","80","TCP","54","33887 > http [ACK] Seq=192 Ack=528 Win=15544 Len=0"
"40","100.035093000","91.189.91.13","RealtekU_12:35:02","80","10.0.2.15","CadmusCo_3b:89:8d","41524","TCP","60","http > 41524 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"41","100.035274000","10.0.2.15","CadmusCo_3b:89:8d","41524","91.189.91.13","RealtekU_12:35:02","80","TCP","54","41524 > http [ACK] Seq=1 Ack=1 Win=14600 Len=0"
