"No.","Time","Source IP","Source HW","Source Port","Dest IP","Dest HW","Dest Port","Protocol","Length","Info"
"27","0.461403000","10.50.63.61","Giga-Byt_59:c5:93","46504","157.56.123.82","Sonicwal_18:fb:1a","443","TLSv1","333","Client Key Exchange"
"28","0.462027000","10.50.63.61","Giga-Byt_59:c5:93","51141","91.190.218.61","Sonicwal_18:fb:1a","12350","TCP","74","51141 > 12350 [PSH, ACK] Seq=93 Ack=87 Win=14720 Len=8 TSval=5275763 TSecr=3075217602"
"29","0.514586000","91.190.218.61","Sonicwal_18:fb:1a","12350","10.50.63.61","Giga-Byt_59:c5:93","51141","TCP","66","12350 > 51141 [ACK] Seq=87 Ack=101 Win=8192 Len=0 TSval=3075217618 TSecr=5275763"
"30","0.514616000","10.50.63.61","Giga-Byt_59:c5:93","51141","91.190.218.61","Sonicwal_18:fb:1a","12350","TCP","190","51141 > 12350 [PSH, ACK] Seq=101 Ack=87 Win=14720 Len=124 TSval=5275776 TSecr=3075217618"
"31","0.521118000","111.221.74.26","Sonicwal_18:fb:1a","33033","10.50.63.61","Giga-Byt_59:c5:93","40882","UDP","68","Source port: 33033  Destination port: 40882"
"32","0.521562000","10.50.63.61","Giga-Byt_59:c5:93","44235","111.221.74.26","Sonicwal_18:fb:1a","40030","TCP","74","44235 > 40030 [SYN] Seq=0 Win=14600 Len=0 MSS=1460 SACK_PERM=1 TSval=5275778 TSecr=0 WS=128"
"33","0.529004000","91.190.218.61","Sonicwal_18:fb:1a","12350","10.50.63.61","Giga-Byt_59:c5:93","51141","TCP","66","12350 > 51141 [ACK] Seq=87 Ack=225 Win=8192 Len=0 TSval=3075217621 TSecr=5275776"
"34","0.532339000","91.190.218.61","Sonicwal_18:fb:1a","12350","10.50.63.61","Giga-Byt_59:c5:93","51141","TCP","369","12350 > 51141 [PSH, ACK] Seq=87 Ack=225 Win=8192 Len=303 TSval=3075217622 TSecr=5275776"
"35","0.538921000","10.50.63.61","Giga-Byt_59:c5:93","51141","91.190.218.61","Sonicwal_18:fb:1a","12350","TCP","470","51141 > 12350 [PSH, ACK] Seq=225 Ack=390 Win=15744 Len=404 TSval=5275783 TSecr=3075217622"
"36","0.553679000","91.190.218.61","Sonicwal_18:fb:1a","12350","10.50.63.61","Giga-Byt_59:c5:93","51141","TCP","76","12350 > 51141 [PSH, ACK] Seq=390 Ack=629 Win=9216 Len=10 TSval=3075217627 TSecr=5275783"
