"No.","Time","Source IP","Source HW","Source Port","Dest IP","Dest HW","Dest Port","Protocol","Length","Info"
"4514","4335.247946","10.252.174.188","12:31:38:00:a9:4e","44307","23.20.23.147","fe:ff:ff:ff:ff:ff","80","TCP","66","44307 > http [ACK] Seq=287 Ack=2759889 Win=299328 Len=0 TSval=6336019 TSecr=1924752"
"4515","4335.247972","23.20.23.147","fe:ff:ff:ff:ff:ff","80","10.252.174.188","12:31:38:00:a9:4e","44307","TCP","17442","[TCP segment of a reassembled PDU]"
"4516","4335.247987","23.20.23.147","fe:ff:ff:ff:ff:ff","80","10.252.174.188","12:31:38:00:a9:4e","44307","TCP","10202","[TCP segment of a reassembled PDU]"
"4517","4335.248005","23.20.23.147","fe:ff:ff:ff:ff:ff","80","10.252.174.188","12:31:38:00:a9:4e","44307","TCP","10202","[TCP segment of a reassembled PDU]"
"4518","4335.248123","23.20.23.147","fe:ff:ff:ff:ff:ff","80","10.252.174.188","12:31:38:00:a9:4e","44307","TCP","26130","[TCP segment of a reassembled PDU]"
"4519","4335.248268","10.252.174.188","12:31:38:00:a9:4e","44307","23.20.23.147","fe:ff:ff:ff:ff:ff","80","TCP","66","44307 > http [ACK] Seq=287 Ack=2823601 Win=265280 Len=0 TSval=6336019 TSecr=1924752"
"4520","4335.251639","23.20.23.147","fe:ff:ff:ff:ff:ff","80","10.252.174.188","12:31:38:00:a9:4e","44307","TCP","5858","[TCP segment of a reassembled PDU]"
"4521","4335.251647","10.252.174.188","12:31:38:00:a9:4e","44307","23.20.23.147","fe:ff:ff:ff:ff:ff","80","TCP","66","44307 > http [ACK] Seq=287 Ack=2829393 Win=304384 Len=0 TSval=6336020 TSecr=1924753"
"4522","4335.251660","23.20.23.147","fe:ff:ff:ff:ff:ff","80","10.252.174.188","12:31:38:00:a9:4e","44307","TCP","5858","[TCP segment of a reassembled PDU]"
"4523","4335.251677","23.20.23.147","fe:ff:ff:ff:ff:ff","80","10.252.174.188","12:31:38:00:a9:4e","44307","TCP","11650","[TCP segment of a reassembled PDU]"
"4524","4335.251685","23.20.23.147","fe:ff:ff:ff:ff:ff","80","10.252.174.188","12:31:38:00:a9:4e","44307","TCP","5858","[TCP segment of a reassembled PDU]"
"4525","4335.251720","23.20.23.147","fe:ff:ff:ff:ff:ff","80","10.252.174.188","12:31:38:00:a9:4e","44307","TCP","26130","[TCP segment of a reassembled PDU]"
"4526","4335.251895","23.20.23.147","fe:ff:ff:ff:ff:ff","80","10.252.174.188","12:31:38:00:a9:4e","44307","TCP","24682","[TCP segment of a reassembled PDU]"
"4527","4335.251928","23.20.23.147","fe:ff:ff:ff:ff:ff","80","10.252.174.188","12:31:38:00:a9:4e","44307","TCP","11650","[TCP segment of a reassembled PDU]"
"4528","4335.251934","23.20.23.147","fe:ff:ff:ff:ff:ff","80","10.252.174.188","12:31:38:00:a9:4e","44307","TCP","2962","[TCP segment of a reassembled PDU]"
"4529","4335.252069","10.252.174.188","12:31:38:00:a9:4e","44307","23.20.23.147","fe:ff:ff:ff:ff:ff","80","TCP","66","44307 > http [ACK] Seq=287 Ack=2917721 Win=259856 Len=0 TSval=6336020 TSecr=1924753"
