"No.","Time","Source IP","Source HW","Source Port","Dest IP","Dest HW","Dest Port","Protocol","Length","Info"
"320","3.424318000","10.0.2.15","CadmusCo_3b:89:8d","46352","94.8.222.9","RealtekU_12:35:02","6699","TCP","74","46352 > 6699 [SYN] Seq=0 Win=14600 Len=0 MSS=1460 SACK_PERM=1 TSval=26980 TSecr=0 WS=64"
"321","3.424386000","10.0.2.15","CadmusCo_3b:89:8d","36899","94.8.222.9","RealtekU_12:35:02","7004","TCP","74","36899 > afs3-kaserver [SYN] Seq=0 Win=14600 Len=0 MSS=1460 SACK_PERM=1 TSval=26980 TSecr=0 WS=64"
"322","3.424454000","10.0.2.15","CadmusCo_3b:89:8d","39089","94.8.222.9","RealtekU_12:35:02","4000","TCP","74","39089 > terabase [SYN] Seq=0 Win=14600 Len=0 MSS=1460 SACK_PERM=1 TSval=26980 TSecr=0 WS=64"
"323","3.424520000","10.0.2.15","CadmusCo_3b:89:8d","40000","94.8.222.9","RealtekU_12:35:02","1056","TCP","74","safetynetp > vfo [SYN] Seq=0 Win=14600 Len=0 MSS=1460 SACK_PERM=1 TSval=26980 TSecr=0 WS=64"
"324","3.424962000","10.0.2.15","CadmusCo_3b:89:8d","59582","94.8.222.9","RealtekU_12:35:02","1001","TCP","74","59582 > customs [SYN] Seq=0 Win=14600 Len=0 MSS=1460 SACK_PERM=1 TSval=26980 TSecr=0 WS=64"
"325","3.432993000","10.0.2.15","CadmusCo_3b:89:8d","51444","94.8.222.9","RealtekU_12:35:02","5004","TCP","74","51444 > avt-profile-1 [SYN] Seq=0 Win=14600 Len=0 MSS=1460 SACK_PERM=1 TSval=26982 TSecr=0 WS=64"
"326","3.433997000","10.0.2.15","CadmusCo_3b:89:8d","53840","94.8.222.9","RealtekU_12:35:02","8045","TCP","74","53840 > 8045 [SYN] Seq=0 Win=14600 Len=0 MSS=1460 SACK_PERM=1 TSval=26982 TSecr=0 WS=64"
"327","3.434893000","10.0.2.15","CadmusCo_3b:89:8d","60260","94.8.222.9","RealtekU_12:35:02","22939","TCP","74","60260 > 22939 [SYN] Seq=0 Win=14600 Len=0 MSS=1460 SACK_PERM=1 TSval=26983 TSecr=0 WS=64"
"328","3.435758000","10.0.2.15","CadmusCo_3b:89:8d","34406","94.8.222.9","RealtekU_12:35:02","4998","TCP","74","34406 > 4998 [SYN] Seq=0 Win=14600 Len=0 MSS=1460 SACK_PERM=1 TSval=26983 TSecr=0 WS=64"
"329","3.438001000","10.0.2.15","CadmusCo_3b:89:8d","58243","94.8.222.9","RealtekU_12:35:02","6839","TCP","74","58243 > 6839 [SYN] Seq=0 Win=14600 Len=0 MSS=1460 SACK_PERM=1 TSval=26983 TSecr=0 WS=64"
"330","3.438551000","10.0.2.15","CadmusCo_3b:89:8d","32954","94.8.222.9","RealtekU_12:35:02","6901","TCP","74","32954 > jetstream [SYN] Seq=0 Win=14600 Len=0 MSS=1460 SACK_PERM=1 TSval=26984 TSecr=0 WS=64"
"331","3.485199000","10.0.2.15","CadmusCo_3b:89:8d","32823","94.8.222.9","RealtekU_12:35:02","2049","TCP","74","32823 > nfs [SYN] Seq=0 Win=14600 Len=0 MSS=1460 SACK_PERM=1 TSval=26995 TSecr=0 WS=64"
"332","3.487729000","10.0.2.15","CadmusCo_3b:89:8d","56195","94.8.222.9","RealtekU_12:35:02","2000","TCP","74","56195 > cisco-sccp [SYN] Seq=0 Win=14600 Len=0 MSS=1460 SACK_PERM=1 TSval=26996 TSecr=0 WS=64"
"333","3.488838000","10.0.2.15","CadmusCo_3b:89:8d","50401","94.8.222.9","RealtekU_12:35:02","40193","TCP","74","50401 > 40193 [SYN] Seq=0 Win=14600 Len=0 MSS=1460 SACK_PERM=1 TSval=26996 TSecr=0 WS=64"
"334","3.489752000","10.0.2.15","CadmusCo_3b:89:8d","55493","94.8.222.9","RealtekU_12:35:02","2003","TCP","74","55493 > brutus [SYN] Seq=0 Win=14600 Len=0 MSS=1460 SACK_PERM=1 TSval=26996 TSecr=0 WS=64"
"335","3.490345000","10.0.2.15","CadmusCo_3b:89:8d","42185","94.8.222.9","RealtekU_12:35:02","1165","TCP","74","42185 > qsm-gui [SYN] Seq=0 Win=14600 Len=0 MSS=1460 SACK_PERM=1 TSval=26997 TSecr=0 WS=64"
"336","3.492053000","10.0.2.15","CadmusCo_3b:89:8d","44609","94.8.222.9","RealtekU_12:35:02","49157","TCP","74","44609 > 49157 [SYN] Seq=0 Win=14600 Len=0 MSS=1460 SACK_PERM=1 TSval=26997 TSecr=0 WS=64"
"337","3.493085000","10.0.2.15","CadmusCo_3b:89:8d","55049","94.8.222.9","RealtekU_12:35:02","1053","TCP","74","55049 > remote-as [SYN] Seq=0 Win=14600 Len=0 MSS=1460 SACK_PERM=1 TSval=26997 TSecr=0 WS=64"
"338","3.494224000","10.0.2.15","CadmusCo_3b:89:8d","56907","94.8.222.9","RealtekU_12:35:02","2399","TCP","74","56907 > fmpro-fdal [SYN] Seq=0 Win=14600 Len=0 MSS=1460 SACK_PERM=1 TSval=26998 TSecr=0 WS=64"
"339","3.495488000","10.0.2.15","CadmusCo_3b:89:8d","45527","94.8.222.9","RealtekU_12:35:02","1761","TCP","74","45527 > cft-0 [SYN] Seq=0 Win=14600 Len=0 MSS=1460 SACK_PERM=1 TSval=26998 TSecr=0 WS=64"
"340","3.496592000","10.0.2.15","CadmusCo_3b:89:8d","50676","94.8.222.9","RealtekU_12:35:02","1119","TCP","74","50676 > bnetgame [SYN] Seq=0 Win=14600 Len=0 MSS=1460 SACK_PERM=1 TSval=26998 TSecr=0 WS=64"
"341","3.498000000","10.0.2.15","CadmusCo_3b:89:8d","36517","94.8.222.9","RealtekU_12:35:02","3527","TCP","74","36517 > beserver-msg-q [SYN] Seq=0 Win=14600 Len=0 MSS=1460 SACK_PERM=1 TSval=26998 TSecr=0 WS=64"
"342","3.515594000","10.0.2.15","CadmusCo_3b:89:8d","36231","94.8.222.9","RealtekU_12:35:02","19101","TCP","74","36231 > 19101 [SYN] Seq=0 Win=14600 Len=0 MSS=1460 SACK_PERM=1 TSval=27003 TSecr=0 WS=64"
"343","3.516871000","10.0.2.15","CadmusCo_3b:89:8d","35722","94.8.222.9","RealtekU_12:35:02","3827","TCP","74","35722 > netmpi [SYN] Seq=0 Win=14600 Len=0 MSS=1460 SACK_PERM=1 TSval=27003 TSecr=0 WS=64"
"344","3.518202000","10.0.2.15","CadmusCo_3b:89:8d","43308","94.8.222.9","RealtekU_12:35:02","43","TCP","74","43308 > nicname [SYN] Seq=0 Win=14600 Len=0 MSS=1460 SACK_PERM=1 TSval=27004 TSecr=0 WS=64"
"345","3.519292000","10.0.2.15","CadmusCo_3b:89:8d","57432","94.8.222.9","RealtekU_12:35:02","1107","TCP","74","57432 > isoipsigport-2 [SYN] Seq=0 Win=14600 Len=0 MSS=1460 SACK_PERM=1 TSval=27004 TSecr=0 WS=64"
"346","3.520734000","10.0.2.15","CadmusCo_3b:89:8d","58239","94.8.222.9","RealtekU_12:35:02","10000","TCP","74","58239 > ndmp [SYN] Seq=0 Win=14600 Len=0 MSS=1460 SACK_PERM=1 TSval=27004 TSecr=0 WS=64"
"347","3.521984000","10.0.2.15","CadmusCo_3b:89:8d","38394","94.8.222.9","RealtekU_12:35:02","8100","TCP","74","38394 > xprint-server [SYN] Seq=0 Win=14600 Len=0 MSS=1460 SACK_PERM=1 TSval=27004 TSecr=0 WS=64"
"348","3.523136000","10.0.2.15","CadmusCo_3b:89:8d","49025","94.8.222.9","RealtekU_12:35:02","9001","TCP","74","49025 > etlservicemgr [SYN] Seq=0 Win=14600 Len=0 MSS=1460 SACK_PERM=1 TSval=27005 TSecr=0 WS=64"
"349","3.524227000","10.0.2.15","CadmusCo_3b:89:8d","57290","94.8.222.9","RealtekU_12:35:02","5357","TCP","74","57290 > wsdapi [SYN] Seq=0 Win=14600 Len=0 MSS=1460 SACK_PERM=1 TSval=27005 TSecr=0 WS=64"
"350","3.524403000","10.0.2.15","CadmusCo_3b:89:8d","46674","94.8.222.9","RealtekU_12:35:02","1114","TCP","74","46674 > mini-sql [SYN] Seq=0 Win=14600 Len=0 MSS=1460 SACK_PERM=1 TSval=27005 TSecr=0 WS=64"
"351","3.525027000","10.0.2.15","CadmusCo_3b:89:8d","38917","94.8.222.9","RealtekU_12:35:02","1247","TCP","74","38917 > visionpyramid [SYN] Seq=0 Win=14600 Len=0 MSS=1460 SACK_PERM=1 TSval=27005 TSecr=0 WS=64"
"352","3.525113000","10.0.2.15","CadmusCo_3b:89:8d","34790","94.8.222.9","RealtekU_12:35:02","5925","TCP","74","34790 > 5925 [SYN] Seq=0 Win=14600 Len=0 MSS=1460 SACK_PERM=1 TSval=27005 TSecr=0 WS=64"
"353","3.526771000","10.0.2.15","CadmusCo_3b:89:8d","38875","94.8.222.9","RealtekU_12:35:02","8082","TCP","74","38875 > us-cli [SYN] Seq=0 Win=14600 Len=0 MSS=1460 SACK_PERM=1 TSval=27006 TSecr=0 WS=64"
"354","3.527870000","10.0.2.15","CadmusCo_3b:89:8d","58178","94.8.222.9","RealtekU_12:35:02","49161","TCP","74","58178 > 49161 [SYN] Seq=0 Win=14600 Len=0 MSS=1460 SACK_PERM=1 TSval=27006 TSecr=0 WS=64"
"355","3.533369000","10.0.2.15","CadmusCo_3b:89:8d","53840","94.8.222.9","RealtekU_12:35:02","1494","TCP","74","53840 > ica [SYN] Seq=0 Win=14600 Len=0 MSS=1460 SACK_PERM=1 TSval=27007 TSecr=0 WS=64"
"356","3.534563000","10.0.2.15","CadmusCo_3b:89:8d","38146","94.8.222.9","RealtekU_12:35:02","3","TCP","74","38146 > compressnet [SYN] Seq=0 Win=14600 Len=0 MSS=1460 SACK_PERM=1 TSval=27008 TSecr=0 WS=64"
"357","3.540995000","10.0.2.15","CadmusCo_3b:89:8d","38073","94.8.222.9","RealtekU_12:35:02","2135","TCP","74","38073 > gris [SYN] Seq=0 Win=14600 Len=0 MSS=1460 SACK_PERM=1 TSval=27009 TSecr=0 WS=64"
"358","3.542364000","10.0.2.15","CadmusCo_3b:89:8d","58326","94.8.222.9","RealtekU_12:35:02","7800","TCP","74","58326 > asr [SYN] Seq=0 Win=14600 Len=0 MSS=1460 SACK_PERM=1 TSval=27010 TSecr=0 WS=64"
